timestamp,tag_id,x,y,z,quality
1773087531.4878201,1,2.192,-4.362,0.663,65
1773087531.5037107,1,2.192,-4.362,0.663,65
1773087531.514859,1,2.192,-4.362,0.663,65
1773087531.5278316,1,2.192,-4.362,0.663,65
1773087531.5419922,1,2.192,-4.362,0.663,65
1773087531.5581236,1,2.192,-4.362,0.663,65
1773087531.5751886,1,2.192,-4.362,0.663,65
1773087531.831903,1,2.222,-4.335,0.633,70
1773087531.831903,0,2.161,-4.677,0.378,56
1773087531.8676417,1,2.222,-4.335,0.633,70
1773087531.8676417,0,2.148,-4.679,0.359,55
1773087531.900586,1,2.222,-4.335,0.633,70
1773087531.900586,0,2.148,-4.679,0.359,55
1773087531.9241555,1,2.235,-4.39,0.531,67
1773087531.9241555,0,2.148,-4.679,0.359,55
1773087532.2103484,1,2.144,-4.377,0.87,69
1773087532.2103484,0,2.157,-4.676,0.342,57
1773087532.260213,1,2.144,-4.377,0.87,69
1773087532.260213,0,2.157,-4.676,0.342,57
1773087532.2990098,1,2.153,-4.38,0.796,66
1773087532.2990098,0,2.094,-4.683,0.278,57
1773087532.493948,1,2.168,-4.351,0.709,68
1773087532.493948,0,2.139,-4.677,0.311,57
1773087532.520228,1,2.168,-4.351,0.709,68
1773087532.520228,0,2.139,-4.677,0.311,57
1773087532.5403736,1,2.168,-4.351,0.709,68
1773087532.5403736,0,2.139,-4.677,0.311,57
1773087532.5699058,1,2.168,-4.351,0.709,68
1773087532.5699058,0,2.139,-4.677,0.311,57
1773087532.8066359,1,2.174,-4.384,0.992,65
1773087532.8066359,0,2.133,-4.681,0.351,57
1773087532.8386242,1,2.174,-4.384,0.992,65
1773087532.8386242,0,2.133,-4.681,0.351,57
1773087532.8573706,1,2.174,-4.384,0.992,65
1773087532.8573706,0,2.133,-4.681,0.351,57
1773087532.8968756,1,2.175,-4.374,0.909,68
1773087532.8968756,0,2.131,-4.69,0.367,57
1773087533.0965452,1,2.125,-4.376,1.247,66
1773087533.0965452,0,2.122,-4.704,0.401,57
1773087533.1152842,1,2.125,-4.376,1.247,66
1773087533.1152842,0,2.122,-4.704,0.401,57
1773087533.1288807,1,2.125,-4.376,1.247,66
1773087533.1288807,0,2.122,-4.704,0.401,57
1773087533.1438959,1,2.125,-4.376,1.247,66
1773087533.1438959,0,2.122,-4.704,0.401,57
1773087533.1867177,1,2.149,-4.361,1.08,67
1773087533.1867177,0,2.117,-4.7,0.424,59
1773087533.423679,1,2.189,-4.354,0.847,67
1773087533.423679,0,2.133,-4.7,0.422,57
1773087533.4445837,1,2.189,-4.354,0.847,67
1773087533.4445837,0,2.133,-4.7,0.422,57
1773087533.4721968,1,2.189,-4.354,0.847,67
1773087533.4721968,0,2.133,-4.7,0.422,57
1773087533.4935973,1,2.125,-4.381,1.438,69
1773087533.4935973,0,2.145,-4.697,0.422,58
1773087533.7417684,1,2.162,-4.364,1.093,67
1773087533.7417684,0,2.12,-4.702,0.428,71
1773087533.769331,1,2.162,-4.364,1.093,67
1773087533.769331,0,2.117,-4.71,0.413,56
1773087533.7982554,1,2.184,-4.361,0.974,68
1773087533.7982554,0,2.117,-4.71,0.413,56
1773087533.834228,1,2.184,-4.361,0.974,68
1773087533.834228,0,2.117,-4.71,0.413,56
1773087534.0899892,1,2.213,-4.35,0.753,67
1773087534.0899892,0,2.113,-4.717,0.406,57
1773087534.1329746,1,2.213,-4.35,0.753,67
1773087534.1329746,0,2.113,-4.717,0.406,57
1773087534.159668,1,2.213,-4.35,0.753,67
1773087534.159668,0,2.113,-4.717,0.406,57
1773087534.383168,1,2.216,-4.344,0.668,68
1773087534.383168,0,2.12,-4.705,0.411,57
1773087534.4099996,1,2.216,-4.344,0.668,68
1773087534.4099996,0,2.12,-4.705,0.411,57
1773087534.4365425,1,2.216,-4.344,0.668,68
1773087534.4365425,0,2.12,-4.705,0.411,57
1773087534.8267443,1,2.144,-4.361,0.958,67
1773087534.8267443,0,2.115,-4.677,0.463,77
1773087535.1880271,1,2.193,-4.346,0.774,68
1773087535.1880271,0,2.129,-4.699,0.412,57
1773087535.2646968,1,2.19,-4.341,0.731,67
1773087535.2646968,0,2.128,-4.702,0.422,58
1773087535.3414278,1,2.206,-4.394,0.629,70
1773087535.3414278,0,2.128,-4.702,0.422,58
1773087535.5787365,1,2.218,-4.365,0.611,67
1773087535.5787365,0,2.151,-4.691,0.388,56
1773087535.6428447,1,2.218,-4.365,0.611,67
1773087535.6428447,0,2.151,-4.691,0.388,56
1773087535.6668463,1,2.218,-4.365,0.611,67
1773087535.6668463,0,2.127,-4.704,0.368,53
1773087535.9391286,1,2.249,-4.351,0.627,69
1773087535.9391286,0,2.113,-4.714,0.39,57
1773087535.9540782,1,2.249,-4.351,0.627,69
1773087535.9540782,0,2.113,-4.714,0.39,57
1773087535.996559,1,2.168,-4.38,1.258,71
1773087535.996559,0,2.102,-4.713,0.389,56
1773087536.0316012,1,2.168,-4.38,1.258,71
1773087536.0316012,0,2.102,-4.713,0.389,56
1773087536.3507524,1,2.162,-4.368,1.25,68
1773087536.3507524,0,2.114,-4.706,0.376,56
1773087536.3765712,1,2.162,-4.368,1.25,68
1773087536.3765712,0,2.114,-4.713,0.367,55
1773087536.4219036,1,2.174,-4.367,1.103,68
1773087536.4219036,0,2.114,-4.713,0.367,55
1773087536.6420994,1,2.191,-4.355,0.972,67
1773087536.6420994,0,2.122,-4.704,0.342,54
