timestamp,tag_id,x,y,z,quality
1772907942.3909643,0,1.65,-4.346,0.248,51
1772907942.4264655,0,1.65,-4.346,0.248,51
1772907942.4494162,0,1.635,-4.356,0.274,53
1772907942.4744663,0,1.635,-4.356,0.274,53
1772907942.4923546,0,1.635,-4.356,0.274,53
1772907942.5162992,0,1.635,-4.356,0.274,53
1772907942.5305407,0,1.634,-4.354,0.275,52
1772907942.5305407,1,1.583,-4.297,0.748,65
1772907942.5624063,0,1.634,-4.354,0.275,52
1772907942.5624063,1,1.578,-4.29,0.723,61
1772907942.6207867,0,1.634,-4.354,0.275,52
1772907942.6207867,1,1.578,-4.29,0.723,61
1772907942.6484654,0,1.642,-4.351,0.263,51
1772907942.6484654,1,1.575,-4.293,0.735,63
1772907942.6901116,0,1.642,-4.351,0.263,51
1772907942.6901116,1,1.575,-4.293,0.735,63
1772907942.7400284,0,1.652,-4.35,0.246,51
1772907942.7400284,1,1.575,-4.293,0.735,63
1772907942.7872417,0,1.652,-4.35,0.246,51
1772907942.7872417,1,1.578,-4.297,0.727,62
1772907942.8219469,0,1.645,-4.346,0.253,52
1772907942.8219469,1,1.578,-4.297,0.727,62
1772907942.8406277,0,1.645,-4.346,0.253,52
1772907942.8406277,1,1.578,-4.297,0.727,62
1772907942.8633444,0,1.645,-4.346,0.253,52
1772907942.8633444,1,1.578,-4.297,0.727,62
1772907942.9161277,0,1.638,-4.343,0.25,51
1772907942.9161277,1,1.578,-4.297,0.727,62
1772907942.9787977,0,1.638,-4.343,0.25,51
1772907942.9787977,1,1.561,-4.305,0.785,65
1772907943.009951,0,1.638,-4.343,0.25,51
1772907943.009951,1,1.561,-4.305,0.785,65
1772907943.035812,0,1.645,-4.349,0.259,53
1772907943.035812,1,1.561,-4.305,0.785,65
1772907943.0710375,0,1.645,-4.349,0.259,53
1772907943.0710375,1,1.568,-4.306,0.765,62
1772907943.0959165,0,1.645,-4.349,0.259,53
1772907943.0959165,1,1.568,-4.306,0.765,62
1772907943.1118658,0,1.645,-4.349,0.259,53
1772907943.1118658,1,1.568,-4.306,0.765,62
1772907943.1307127,0,1.642,-4.347,0.27,53
1772907943.1307127,1,1.568,-4.306,0.765,62
1772907943.1593702,0,1.642,-4.347,0.27,53
1772907943.1593702,1,1.574,-4.303,0.726,60
1772907943.1863654,0,1.642,-4.347,0.27,53
1772907943.1863654,1,1.574,-4.303,0.726,60
1772907943.2255747,0,1.648,-4.332,0.232,50
1772907943.2255747,1,1.574,-4.303,0.726,60
1772907943.2679772,0,1.648,-4.332,0.232,50
1772907943.2679772,1,1.577,-4.308,0.73,62
1772907943.3212876,0,1.648,-4.332,0.232,50
1772907943.3212876,1,1.577,-4.308,0.73,62
1772907943.3453014,0,1.656,-4.334,0.231,52
1772907943.3453014,1,1.58,-4.298,0.706,61
1772907943.3827188,0,1.656,-4.334,0.231,52
1772907943.3827188,1,1.58,-4.298,0.706,61
1772907943.4014926,0,1.656,-4.334,0.231,52
1772907943.4014926,1,1.58,-4.298,0.706,61
1772907943.415858,0,1.645,-4.332,0.222,50
1772907943.415858,1,1.58,-4.298,0.706,61
1772907943.4350116,0,1.645,-4.332,0.222,50
1772907943.4350116,1,1.58,-4.298,0.706,61
1772907943.446937,0,1.645,-4.332,0.222,50
1772907943.446937,1,1.583,-4.296,0.697,61
1772907943.4595046,0,1.645,-4.332,0.222,50
1772907943.4595046,1,1.583,-4.296,0.697,61
1772907943.479903,0,1.645,-4.332,0.222,50
1772907943.479903,1,1.583,-4.296,0.697,61
1772907943.4921298,0,1.645,-4.332,0.222,50
1772907943.4921298,1,1.583,-4.296,0.697,61
1772907943.5041392,0,1.645,-4.332,0.222,50
1772907943.5041392,1,1.583,-4.296,0.697,61
1772907943.5159206,0,1.65,-4.34,0.239,53
1772907943.5159206,1,1.583,-4.296,0.697,61
1772907943.5325215,0,1.65,-4.34,0.239,53
1772907943.5325215,1,1.579,-4.294,0.715,63
1772907943.5486016,0,1.65,-4.34,0.239,53
1772907943.5486016,1,1.579,-4.294,0.715,63
1772907943.5663476,0,1.65,-4.34,0.239,53
1772907943.5663476,1,1.579,-4.294,0.715,63
1772907943.5786562,0,1.65,-4.34,0.239,53
1772907943.5786562,1,1.579,-4.294,0.715,63
1772907943.6142097,0,1.65,-4.34,0.239,53
1772907943.6142097,1,1.579,-4.294,0.715,63
1772907943.7268836,0,1.652,-4.335,0.219,50
1772907943.7268836,1,1.568,-4.301,0.725,62
1772907943.7420795,0,1.652,-4.335,0.219,50
1772907943.7420795,1,1.583,-4.289,0.692,61
1772907943.7942836,0,1.658,-4.335,0.219,52
1772907943.7942836,1,1.583,-4.289,0.692,61
1772907943.807912,0,1.658,-4.335,0.219,52
1772907943.807912,1,1.583,-4.289,0.692,61
1772907943.825063,0,1.653,-4.343,0.23,52
1772907943.825063,1,1.583,-4.289,0.692,61
1772907943.8458054,0,1.653,-4.343,0.23,52
1772907943.8458054,1,1.583,-4.289,0.692,61
1772907943.9024687,0,1.653,-4.343,0.23,52
1772907943.9024687,1,1.592,-4.284,0.694,63
1772907943.9412146,0,1.662,-4.343,0.221,51
1772907943.9412146,1,1.592,-4.284,0.694,63
1772907943.9799225,0,1.662,-4.343,0.221,51
1772907943.9799225,1,1.597,-4.28,0.699,63
1772907943.9943888,0,1.662,-4.343,0.221,51
1772907943.9943888,1,1.597,-4.28,0.699,63
1772907944.0124424,0,1.662,-4.343,0.221,51
1772907944.0124424,1,1.597,-4.28,0.699,63
1772907944.0472655,0,1.659,-4.339,0.227,52
1772907944.0472655,1,1.597,-4.28,0.699,63
1772907944.0992105,0,1.659,-4.339,0.227,52
1772907944.0992105,1,1.593,-4.274,0.699,62
1772907944.1262012,0,1.659,-4.339,0.227,52
1772907944.1262012,1,1.593,-4.274,0.699,62
1772907944.161384,0,1.654,-4.351,0.246,52
1772907944.161384,1,1.592,-4.268,0.695,62
1772907944.192053,0,1.654,-4.351,0.246,52
1772907944.192053,1,1.592,-4.268,0.695,62
1772907944.2224333,0,1.654,-4.351,0.246,52
1772907944.2224333,1,1.592,-4.268,0.695,62
1772907944.2422392,0,1.654,-4.351,0.246,52
1772907944.2422392,1,1.592,-4.268,0.695,62
1772907944.2841537,0,1.644,-4.357,0.259,52
1772907944.2841537,1,1.594,-4.269,0.69,62
1772907944.3244298,0,1.644,-4.357,0.259,52
1772907944.3244298,1,1.594,-4.269,0.69,62
1772907944.3697245,0,1.638,-4.357,0.264,52
1772907944.3697245,1,1.594,-4.269,0.69,62
1772907944.3983154,0,1.638,-4.357,0.264,52
1772907944.3983154,1,1.589,-4.27,0.687,61
1772907944.4208558,0,1.639,-4.357,0.28,53
1772907944.4208558,1,1.589,-4.27,0.687,61
1772907944.4497664,0,1.639,-4.357,0.28,53
1772907944.4497664,1,1.589,-4.27,0.687,61
1772907944.4878628,0,1.639,-4.357,0.28,53
1772907944.4878628,1,1.583,-4.274,0.672,60
1772907944.5039382,0,1.639,-4.357,0.28,53
1772907944.5039382,1,1.583,-4.274,0.672,60
1772907944.5190198,0,1.634,-4.349,0.278,52
1772907944.5190198,1,1.583,-4.274,0.672,60
1772907944.5589035,0,1.634,-4.349,0.278,52
1772907944.5589035,1,1.583,-4.274,0.672,60
1772907944.5902715,0,1.634,-4.349,0.278,52
1772907944.5902715,1,1.581,-4.282,0.684,62
1772907944.6182373,0,1.638,-4.36,0.297,54
1772907944.6182373,1,1.581,-4.282,0.684,62
1772907945.0395648,0,1.666,-4.36,0.261,53
1772907945.0395648,1,1.586,-4.259,0.639,59
1772907945.3072875,0,1.661,-4.344,0.226,50
1772907945.3072875,1,1.564,-4.277,0.689,62
1772907945.3381703,0,1.661,-4.344,0.226,50
1772907945.3381703,1,1.564,-4.277,0.689,62
1772907945.3897858,0,1.652,-4.345,0.256,54
1772907945.3897858,1,1.56,-4.288,0.722,63
1772907945.4411063,0,1.652,-4.345,0.256,54
1772907945.4411063,1,1.56,-4.288,0.722,63
1772907945.4868193,0,1.663,-4.342,0.228,50
1772907945.4868193,1,1.574,-4.278,0.711,62
1772907945.5137289,0,1.663,-4.342,0.228,50
1772907945.5137289,1,1.574,-4.278,0.711,62
1772907945.577315,0,1.655,-4.338,0.239,52
1772907945.577315,1,1.574,-4.278,0.711,62
1772907945.6338556,0,1.655,-4.338,0.239,52
1772907945.6338556,1,1.572,-4.286,0.732,63
1772907945.6550994,0,1.655,-4.338,0.239,52
1772907945.6550994,1,1.572,-4.286,0.732,63
1772907945.675962,0,1.655,-4.338,0.239,52
1772907945.675962,1,1.572,-4.286,0.732,63
1772907945.740885,0,1.654,-4.333,0.227,51
1772907945.740885,1,1.569,-4.285,0.724,61
1772907945.8056312,0,1.654,-4.333,0.227,51
1772907945.8056312,1,1.569,-4.285,0.724,61
