timestamp,tag_id,x,y,z,quality
1772748281.5657685,0,1.544,-4.488,1.861,62
1772748281.7969918,0,1.455,-4.549,2.441,56
1772748281.7969918,1,1.393,-4.31,1.074,61
1772748281.8461075,0,1.462,-4.578,2.631,60
1772748281.8461075,1,1.43,-4.313,1.065,67
1772748281.9371068,0,1.462,-4.578,2.631,60
1772748281.9371068,1,1.357,-4.318,1.048,59
1772748281.9814093,0,1.464,-4.538,2.093,60
1772748281.9814093,1,1.406,-4.32,1.052,68
1772748282.0178936,0,1.464,-4.538,2.093,60
1772748282.0178936,1,1.406,-4.32,1.052,68
1772748282.039127,0,1.456,-4.571,2.368,58
1772748282.039127,1,1.406,-4.32,1.052,68
1772748282.0672593,0,1.456,-4.571,2.368,58
1772748282.0672593,1,1.433,-4.321,1.054,67
1772748282.109128,0,1.456,-4.571,2.368,58
1772748282.109128,1,1.433,-4.321,1.054,67
1772748282.1640608,0,1.513,-4.519,1.922,60
1772748282.1640608,1,1.326,-4.251,1.036,54
1772748282.1975465,0,1.513,-4.519,1.922,60
1772748282.1975465,1,1.326,-4.251,1.036,54
1772748282.2132905,0,1.513,-4.519,1.922,60
1772748282.2132905,1,1.326,-4.251,1.036,54
1772748282.2329075,0,1.507,-4.556,2.233,61
1772748282.2329075,1,1.326,-4.251,1.036,54
1772748282.253736,0,1.507,-4.556,2.233,61
1772748282.253736,1,1.326,-4.251,1.036,54
1772748282.2874014,0,1.507,-4.556,2.233,61
1772748282.2874014,1,1.247,-4.191,1.039,55
1772748282.329298,0,1.507,-4.556,2.233,61
1772748282.329298,1,1.247,-4.191,1.039,55
1772748282.3943775,0,1.507,-4.556,2.233,61
1772748282.3943775,1,1.159,-4.141,0.983,53
1772748282.498018,0,1.456,-4.599,2.641,58
1772748282.498018,1,1.101,-4.097,0.945,52
1772748282.5215569,0,1.456,-4.599,2.641,58
1772748282.5215569,1,1.101,-4.097,0.945,52
1772748282.5523376,0,1.456,-4.599,2.641,58
1772748282.5523376,1,1.076,-4.087,0.938,53
1772748282.605935,0,1.443,-4.59,2.771,59
1772748282.605935,1,1.076,-4.087,0.938,53
1772748282.66885,0,1.418,-4.608,2.881,55
1772748282.66885,1,1.175,-4.147,0.957,65
1772748282.6948617,0,1.418,-4.608,2.881,55
1772748282.6948617,1,1.175,-4.147,0.957,65
1772748282.710593,0,1.418,-4.608,2.881,55
1772748282.710593,1,1.175,-4.147,0.957,65
1772748282.7272103,0,1.418,-4.608,2.881,55
1772748282.7272103,1,1.175,-4.147,0.957,65
1772748282.7465744,0,1.398,-4.626,2.94,58
1772748282.7465744,1,1.175,-4.147,0.957,65
1772748282.7928796,0,1.398,-4.626,2.94,58
1772748282.7928796,1,1.182,-4.188,0.975,61
1772748282.8518295,0,1.476,-4.566,2.343,59
1772748282.8518295,1,1.182,-4.188,0.975,61
1772748282.8717399,0,1.476,-4.566,2.343,59
1772748282.8717399,1,1.245,-4.218,0.986,65
1772748282.9022386,0,1.476,-4.566,2.343,59
1772748282.9022386,1,1.245,-4.218,0.986,65
1772748282.9298365,0,1.476,-4.566,2.343,59
1772748282.9298365,1,1.245,-4.218,0.986,65
1772748282.9684982,0,1.439,-4.568,2.539,57
1772748282.9684982,1,1.317,-4.239,1.003,67
1772748283.012294,0,1.439,-4.568,2.539,57
1772748283.012294,1,1.317,-4.239,1.003,67
1772748283.0577781,0,1.42,-4.564,2.699,57
1772748283.0577781,1,1.317,-4.239,1.003,67
1772748283.0995111,0,1.42,-4.564,2.699,57
1772748283.0995111,1,1.264,-4.26,1.019,59
1772748283.1358643,0,1.42,-4.564,2.699,57
1772748283.1358643,1,1.264,-4.26,1.019,59
1772748283.1758926,0,1.403,-4.552,2.802,59
1772748283.1758926,1,1.203,-4.194,0.999,54
